[29-Apr-2022 09:38:33 UTC] PHP Parse error:  syntax error, unexpected '?>' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-list.php on line 35
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:14:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:15:08 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 10:43:51 UTC] PHP Fatal error:  Uncaught Error: Call to a member function get_id() on string in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php:905
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(309): show_storename_on_single_bellow_the_price('http://localhos...', Object(WP_Post), false)
#1 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(189): WP_Hook->apply_filters('http://localhos...', Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(370): apply_filters('post_type_link', 'http://localhos...', Object(WP_Post), false, false)
#3 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(201): get_post_permalink(Object(WP_Post), false, false)
#4 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(764): get_permalink(Object(WP_Post))
#5 C:\xampp\htdocs\meet_demo\wp-includes\general-template.php(3158): get_post_comments_feed_link(1119)
#6 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): feed_links_extra(Array)
#7 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.p in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 905
[02-May-2022 10:44:10 UTC] PHP Fatal error:  Uncaught Error: Call to a member function get_id() on string in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php:905
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(309): show_storename_on_single_bellow_the_price('http://localhos...', Object(WP_Post), false)
#1 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(189): WP_Hook->apply_filters('http://localhos...', Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(370): apply_filters('post_type_link', 'http://localhos...', Object(WP_Post), false, false)
#3 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(201): get_post_permalink(Object(WP_Post), false, false)
#4 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(764): get_permalink(Object(WP_Post))
#5 C:\xampp\htdocs\meet_demo\wp-includes\general-template.php(3158): get_post_comments_feed_link(1119)
#6 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): feed_links_extra(Array)
#7 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.p in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 905
[02-May-2022 10:44:59 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function dokan_get_store_info() in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php:908
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): show_storename_on_single_bellow_the_price('')
#1 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(331): WP_Hook->apply_filters(NULL, Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(474): WP_Hook->do_action(Array)
#3 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\content-single-product.php(60): do_action('woocommerce_sin...')
#4 C:\xampp\htdocs\meet_demo\wp-includes\template.php(772): require('C:\\xampp\\htdocs...')
#5 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-core-functions.php(284): load_template('C:\\xampp\\htdocs...', false)
#6 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\single-product.php(37): wc_get_template_part('content', 'single-product')
#7 C:\xampp\htdocs\meet_demo\wp-includes\template-loader.ph in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 908
[02-May-2022 10:51:47 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function dokan_get_store_info() in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php:908
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): show_storename_on_single_bellow_the_price('')
#1 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(331): WP_Hook->apply_filters(NULL, Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(474): WP_Hook->do_action(Array)
#3 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\content-single-product.php(60): do_action('woocommerce_sin...')
#4 C:\xampp\htdocs\meet_demo\wp-includes\template.php(772): require('C:\\xampp\\htdocs...')
#5 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-core-functions.php(284): load_template('C:\\xampp\\htdocs...', false)
#6 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\single-product.php(37): wc_get_template_part('content', 'single-product')
#7 C:\xampp\htdocs\meet_demo\wp-includes\template-loader.ph in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 908
[02-May-2022 10:52:43 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 914
[02-May-2022 10:52:46 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 914
[02-May-2022 10:52:50 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 914
[02-May-2022 10:52:52 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 914
[02-May-2022 10:53:05 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function dokan_get_store_info() in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php:908
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): show_storename_on_single_bellow_the_price('')
#1 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(331): WP_Hook->apply_filters(NULL, Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(474): WP_Hook->do_action(Array)
#3 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\content-single-product.php(60): do_action('woocommerce_sin...')
#4 C:\xampp\htdocs\meet_demo\wp-includes\template.php(772): require('C:\\xampp\\htdocs...')
#5 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-core-functions.php(284): load_template('C:\\xampp\\htdocs...', false)
#6 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\single-product.php(37): wc_get_template_part('content', 'single-product')
#7 C:\xampp\htdocs\meet_demo\wp-includes\template-loader.ph in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 908
[02-May-2022 11:14:48 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-public.php on line 147
[02-May-2022 11:15:18 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-public.php on line 147
[02-May-2022 11:15:26 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-public.php on line 147
[02-May-2022 11:53:10 UTC] PHP Fatal error:  Cannot redeclare store_link_product_page() (previously declared in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-product-controller.php:2989) in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 946
[02-May-2022 12:09:37 UTC] PHP Fatal error:  Uncaught Error: Call to undefined method WCV_Vendors::get_vendor_shop_page() in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\front\class-vendor-shop.php:66
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(309): WCV_Vendor_Shop::change_archive_link('http://localhos...')
#1 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(189): WP_Hook->apply_filters('http://localhos...', Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(1342): apply_filters('post_type_archi...', 'http://localhos...', 'product')
#3 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(1362): get_post_type_archive_link('product')
#4 C:\xampp\htdocs\meet_demo\wp-includes\general-template.php(3168): get_post_type_archive_feed_link('product')
#5 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): feed_links_extra(Array)
#6 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(331): WP_Hook->apply_filters(NULL, Array)
#7 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(474): WP_ in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\front\class-vendor-shop.php on line 66
[02-May-2022 12:13:41 UTC] PHP Fatal error:  Uncaught Error: Call to undefined method WCV_Vendors::get_vendor_shop_page() in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\front\class-vendor-shop.php:66
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(309): WCV_Vendor_Shop::change_archive_link('http://localhos...')
#1 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(189): WP_Hook->apply_filters('http://localhos...', Array)
#2 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(1342): apply_filters('post_type_archi...', 'http://localhos...', 'product')
#3 C:\xampp\htdocs\meet_demo\wp-includes\link-template.php(1362): get_post_type_archive_link('product')
#4 C:\xampp\htdocs\meet_demo\wp-includes\general-template.php(3168): get_post_type_archive_feed_link('product')
#5 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): feed_links_extra(Array)
#6 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(331): WP_Hook->apply_filters(NULL, Array)
#7 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(474): WP_ in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\front\class-vendor-shop.php on line 66
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-includes\general-template.php on line 1265
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:15:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-includes\general-template.php on line 1265
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:22:26 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 219
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:41:35 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:48:24 UTC] PHP Notice:  Undefined variable: permalink in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 427
[02-May-2022 12:56:09 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in C:\xampp\htdocs\meet_demo\wp-includes\author-template.php on line 189
[02-May-2022 12:56:09 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[02-May-2022 12:56:25 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 418
[02-May-2022 12:56:25 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[02-May-2022 12:56:36 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\class-vendors.php on line 418
[02-May-2022 12:56:36 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[02-May-2022 13:05:11 UTC] PHP Notice:  Undefined index: field_type in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\admin\class-wcvendors-pro-admin-vendor-controller.php on line 353
[03-May-2022 07:45:08 UTC] PHP Notice:  Undefined variable: action_url in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\partials\product\wcvendors-pro-single-product-tools.php on line 61
[03-May-2022 07:45:08 UTC] PHP Notice:  Undefined variable: action_url in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\partials\product\wcvendors-pro-single-product-tools.php on line 61
[03-May-2022 07:45:08 UTC] PHP Notice:  Undefined variable: action_url in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\partials\product\wcvendors-pro-single-product-tools.php on line 61
[03-May-2022 07:54:37 UTC] PHP Warning:  exif_read_data(album-1.jpg): Incorrect APP1 Exif Identifier Code in C:\xampp\htdocs\meet_demo\wp-admin\includes\image.php on line 829
[03-May-2022 10:44:44 UTC] PHP Warning:  exif_read_data(album-1.jpg): Incorrect APP1 Exif Identifier Code in C:\xampp\htdocs\meet_demo\wp-admin\includes\image.php on line 829
[03-May-2022 10:48:23 UTC] PHP Notice:  Undefined variable: link in C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-template-functions.php on line 1200
[03-May-2022 10:48:23 UTC] PHP Notice:  Undefined variable: link in C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-template-functions.php on line 1200
[03-May-2022 10:48:23 UTC] PHP Notice:  Undefined variable: link in C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-template-functions.php on line 1200
[03-May-2022 10:48:23 UTC] PHP Notice:  Undefined variable: link in C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-template-functions.php on line 1200
[03-May-2022 10:48:23 UTC] PHP Notice:  Undefined variable: link in C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-template-functions.php on line 1200
